Week,AwayTeamName,AwayTeamID,HomeTeamName,HomeTeamID,PointSpread,OverUnder,DateTimeUTC,NeutralVenue,Conference_away,Conference_home
1,Colgate Raiders,261,Syracuse Orange,30,,,2023-08-30T20:00:00,False,,Atlantic Coast
1,Wofford Terriers,285,Pittsburgh Panthers,28,,,2023-08-30T19:30:00,False,,Atlantic Coast
1,Miami (OH) RedHawks,182,Miami Hurricanes,23,-12.4,32.0,2023-08-29T23:00:00,False,Mid-American - East,Atlantic Coast
1,Old Dominion Monarchs,138,Virginia Tech Hokies,31,-9.6,34.4,2023-08-31T00:00:00,False,Sun Belt - East,Atlantic Coast
1,Louisville Cardinals,24,Georgia Tech Yellow Jackets,32,4.0,35.1,2023-08-29T23:30:00,True,Atlantic Coast,Atlantic Coast
1,Central Arkansas Bears,298,Oklahoma State Cowboys,113,,,2023-08-30T23:00:00,False,,Big 12
1,Arkansas State Red Wolves,327,Oklahoma Sooners,105,-23.0,41.6,2023-08-30T16:00:00,False,Sun Belt - West,Big 12
1,Kent State Golden Flashes,178,UCF Knights,8,-23.7,40.2,2023-08-28T23:00:00,False,Mid-American - East,Big 12
1,Eastern Kentucky Colonels,237,Cincinnati Bearcats,4,,,2023-08-30T19:30:00,False,,Big 12
1,Missouri State Bears,208,Kansas Jayhawks,106,,,2023-08-30T00:00:00,False,,Big 12
1,Southeast Missouri State Redhawks,243,Kansas State Wildcats,112,,,2023-08-30T23:00:00,False,,Big 12
1,Texas State Bobcats,332,Baylor Bears,108,-17.5,40.2,2023-08-30T23:00:00,False,Sun Belt - West,Big 12
1,UTSA Roadrunners,147,Houston Cougars,6,0.0,42.0,2023-08-30T23:00:00,False,American Athletic,Big 12
1,Rice Owls,146,Texas Longhorns,109,-24.1,40.9,2023-08-30T19:30:00,False,American Athletic,Big 12
1,Texas Tech Red Raiders,111,Wyoming Cowboys,219,6.6,37.2,2023-08-30T23:30:00,False,Big 12,Mountain West
1,Northern Iowa Panthers,206,Iowa State Cyclones,110,,,2023-08-30T18:00:00,False,,Big 12
1,Arkansas-Pine Bluff Golden Lions,310,Tulsa Golden Hurricane,5,,,2023-08-29T00:00:00,False,,American Athletic
1,Akron Zips,177,Temple Owls,2,-7.2,37.5,2023-08-30T18:00:00,False,Mid-American - East,American Athletic
1,Monmouth Hawks,166,Florida Atlantic Owls,145,,,2023-08-30T22:00:00,False,,American Athletic
1,Bethune-Cookman Wildcats,192,Memphis Tigers,7,,,2023-08-30T23:00:00,False,,American Athletic
