Week,AwayTeamName,HomeTeamName,PointSpread,OverUnder,DateTimeUTC,NeutralVenue,TeamsConcatenated,ConferenceConcatenated
3,UL Monroe Warhawks,Texas A&M Aggies,-28.0,40.4,2023-09-14T20:00:00,False,UL Monroe Warhawks vs Texas A&M Aggies,Sun Belt - West vs SEC - West
3,Syracuse Orange,Purdue Boilermakers,0.6,42.7,2023-09-14T23:30:00,False,Syracuse Orange vs Purdue Boilermakers,Atlantic Coast vs Big Ten - West
3,Army Black Knights,UTSA Roadrunners,-5.3,31.4,2023-09-13T23:00:00,False,Army Black Knights vs UTSA Roadrunners,FBS Independents vs American Athletic
3,Georgia Southern Eagles,Wisconsin Badgers,-15.9,49.5,2023-09-14T16:00:00,False,Georgia Southern Eagles vs Wisconsin Badgers,Sun Belt - East vs Big Ten - West
3,LSU Tigers,Mississippi State Bulldogs,5.4,40.8,2023-09-14T16:00:00,False,LSU Tigers vs Mississippi State Bulldogs,SEC - West vs SEC - West
3,Penn State Nittany Lions,Illinois Fighting Illini,10.6,35.9,2023-09-14T16:00:00,False,Penn State Nittany Lions vs Illinois Fighting Illini,Big Ten - East vs Big Ten - West
3,Florida International Panthers,UConn Huskies,-5.3,32.9,2023-09-14T19:30:00,False,Florida International Panthers vs UConn Huskies,Conference USA vs FBS Independents
3,Tennessee Volunteers,Florida Gators,3.1,42.7,2023-09-14T23:00:00,False,Tennessee Volunteers vs Florida Gators,SEC - East vs SEC - East
3,Alabama Crimson Tide,South Florida Bulls,25.7,46.1,2023-09-14T19:30:00,False,Alabama Crimson Tide vs South Florida Bulls,SEC - West vs American Athletic
3,South Carolina Gamecocks,Georgia Bulldogs,-20.4,40.4,2023-09-14T19:30:00,False,South Carolina Gamecocks vs Georgia Bulldogs,SEC - East vs SEC - East
3,BYU Cougars,Arkansas Razorbacks,-6.0,35.9,2023-09-14T23:30:00,False,BYU Cougars vs Arkansas Razorbacks,Big 12 vs SEC - West
3,Akron Zips,Kentucky Wildcats,-19.3,36.7,2023-09-14T23:30:00,False,Akron Zips vs Kentucky Wildcats,Mid-American - East vs SEC - East
3,Indiana Hoosiers,Louisville Cardinals,-7.6,38.2,2023-09-14T16:00:00,True,Indiana Hoosiers vs Louisville Cardinals,Big Ten - East vs Atlantic Coast
3,San Diego State Aztecs,Oregon State Beavers,-18.9,36.7,2023-09-14T19:30:00,False,San Diego State Aztecs vs Oregon State Beavers,Mountain West vs Pac-12
3,Sacramento State Hornets,Stanford Cardinal,-4.9,46.1,2023-09-15T00:00:00,False,Sacramento State Hornets vs Stanford Cardinal,Unknown vs Pac-12
3,Hawaii Rainbow Warriors,Oregon Ducks,-28.7,51.8,2023-09-15T00:00:00,False,Hawaii Rainbow Warriors vs Oregon Ducks,Mountain West vs Pac-12
3,Idaho Vandals,California Golden Bears,-12.1,39.7,2023-09-14T20:00:00,False,Idaho Vandals vs California Golden Bears,Unknown vs Pac-12
3,Weber State Wildcats,Utah Utes,-20.4,33.6,2023-09-14T18:00:00,False,Weber State Wildcats vs Utah Utes,Unknown vs Pac-12
3,North Carolina Central Eagles,UCLA Bruins,-26.8,45.7,2023-09-14T21:00:00,False,North Carolina Central Eagles vs UCLA Bruins,Unknown vs Pac-12
3,Northern Colorado Bears,Washington State Cougars,-35.5,41.6,2023-09-14T21:00:00,False,Northern Colorado Bears vs Washington State Cougars,Unknown vs Pac-12
3,Colorado State Rams,Colorado Buffaloes,-16.3,47.2,2023-09-15T02:00:00,False,Colorado State Rams vs Colorado Buffaloes,Mountain West vs Pac-12
3,Fresno State Bulldogs,Arizona State Sun Devils,2.3,35.9,2023-09-15T02:30:00,False,Fresno State Bulldogs vs Arizona State Sun Devils,Mountain West vs Pac-12
3,Central Michigan Chippewas,Notre Dame Fighting Irish,-26.1,38.9,2023-09-14T18:30:00,False,Central Michigan Chippewas vs Notre Dame Fighting Irish,Mid-American - West vs FBS Independents
3,Florida State Seminoles,Boston College Eagles,20.0,36.3,2023-09-14T16:00:00,False,Florida State Seminoles vs Boston College Eagles,Atlantic Coast vs Atlantic Coast
3,VMI Keydets,NC State Wolfpack,-32.1,39.3,2023-09-14T18:00:00,False,VMI Keydets vs NC State Wolfpack,Unknown vs Atlantic Coast
3,Florida Atlantic Owls,Clemson Tigers,-18.5,38.9,2023-09-15T00:00:00,False,Florida Atlantic Owls vs Clemson Tigers,American Athletic vs Atlantic Coast
3,Bethune-Cookman Wildcats,Miami Hurricanes,-41.6,47.2,2023-09-12T23:30:00,False,Bethune-Cookman Wildcats vs Miami Hurricanes,Unknown vs Atlantic Coast
3,Pittsburgh Panthers,West Virginia Mountaineers,-1.9,35.5,2023-09-14T23:30:00,False,Pittsburgh Panthers vs West Virginia Mountaineers,Atlantic Coast vs Big 12
3,Wake Forest Demon Deacons,Old Dominion Monarchs,10.6,45.7,2023-09-14T16:00:00,False,Wake Forest Demon Deacons vs Old Dominion Monarchs,Atlantic Coast vs Sun Belt - East
3,Iowa State Cyclones,Ohio Bobcats,1.1,32.1,2023-09-14T16:00:00,False,Iowa State Cyclones vs Ohio Bobcats,Big 12 vs Mid-American - East
3,South Alabama Jaguars,Oklahoma State Cowboys,-5.3,36.7,2023-09-14T23:00:00,False,South Alabama Jaguars vs Oklahoma State Cowboys,Sun Belt - West vs Big 12
3,Oklahoma Sooners,Tulsa Golden Hurricane,21.5,44.2,2023-09-14T19:30:00,False,Oklahoma Sooners vs Tulsa Golden Hurricane,Big 12 vs American Athletic
3,Villanova Wildcats,UCF Knights,-20.8,41.2,2023-09-14T22:30:00,False,Villanova Wildcats vs UCF Knights,Unknown vs Big 12
3,Miami (OH) RedHawks,Cincinnati Bearcats,-10.6,33.3,2023-09-14T23:00:00,False,Miami (OH) RedHawks vs Cincinnati Bearcats,Mid-American - East vs Big 12
3,Long Island University Sharks,Baylor Bears,-34.4,40.8,2023-09-14T16:00:00,False,Long Island University Sharks vs Baylor Bears,Unknown vs Big 12
3,Kansas Jayhawks,Nevada Wolf Pack,21.2,43.8,2023-09-15T02:30:00,False,Kansas Jayhawks vs Nevada Wolf Pack,Big 12 vs Mountain West
3,TCU Horned Frogs,Houston Cougars,4.3,48.4,2023-09-15T00:00:00,False,TCU Horned Frogs vs Houston Cougars,Big 12 vs Big 12
3,Wyoming Cowboys,Texas Longhorns,-22.7,36.7,2023-09-15T00:00:00,False,Wyoming Cowboys vs Texas Longhorns,Mountain West vs Big 12
3,Tarleton Texans,Texas Tech Red Raiders,-27.6,57.1,2023-09-14T23:00:00,False,Tarleton Texans vs Texas Tech Red Raiders,Unknown vs Big 12
3,UMass Minutemen,Eastern Michigan Eagles,-6.0,37.8,2023-09-14T18:00:00,False,UMass Minutemen vs Eastern Michigan Eagles,FBS Independents vs Mid-American - West
3,East Carolina Pirates,Appalachian State Mountaineers,-5.3,36.7,2023-09-14T19:30:00,False,East Carolina Pirates vs Appalachian State Mountaineers,American Athletic vs Sun Belt - East
3,Norfolk State Spartans,Temple Owls,-24.2,42.0,2023-09-14T18:00:00,False,Norfolk State Spartans vs Temple Owls,Unknown vs American Athletic
3,Navy Midshipmen,Memphis Tigers,-9.1,35.5,2023-09-12T23:30:00,False,Navy Midshipmen vs Memphis Tigers,American Athletic vs American Athletic
3,Georgia State Panthers,Charlotte 49ers,2.9,38.9,2023-09-14T22:00:00,False,Georgia State Panthers vs Charlotte 49ers,Sun Belt - East vs American Athletic
3,Prairie View A&M Panthers,SMU Mustangs,-31.4,48.0,2023-09-14T23:00:00,False,Prairie View A&M Panthers vs SMU Mustangs,Unknown vs American Athletic
3,Tulane Green Wave,Southern Miss Golden Eagles,4.6,35.9,2023-09-14T20:00:00,False,Tulane Green Wave vs Southern Miss Golden Eagles,American Athletic vs Sun Belt - West
3,Louisiana Ragin Cajuns,UAB Blazers,-1.9,45.0,2023-09-14T23:00:00,False,Louisiana Ragin Cajuns vs UAB Blazers,Sun Belt - West vs American Athletic
3,Texas Southern Tigers,Rice Owls,-26.5,45.4,2023-09-14T23:00:00,False,Texas Southern Tigers vs Rice Owls,Unknown vs American Athletic
3,Stony Brook Seawolves,Arkansas State Red Wolves,-17.0,35.9,2023-09-14T23:00:00,False,Stony Brook Seawolves vs Arkansas State Red Wolves,Unknown vs Sun Belt - West
