Week,AwayTeamName,AwayTeamID,HomeTeamName,HomeTeamID,PointSpread,OverUnder,DateTimeUTC,NeutralVenue,Conference_away,Conference_home,TeamsConcatenated
7,UTEP Miners,139,Florida International Panthers,140,,,2023-10-08T23:30:00,False,Conference USA,Conference USA,UTEP Miners vs Florida International Panthers
7,Georgia Bulldogs,272,Vanderbilt Commodores,273,,,,False,SEC - East,SEC - East,Georgia Bulldogs vs Vanderbilt Commodores
7,Louisiana Tech Bulldogs,137,Middle Tennessee Blue Raiders,135,,,2023-10-07T23:00:00,False,Conference USA,Conference USA,Louisiana Tech Bulldogs vs Middle Tennessee Blue Raiders
7,Ohio State Buckeyes,98,Purdue Boilermakers,94,,,,False,Big Ten - East,Big Ten - West,Ohio State Buckeyes vs Purdue Boilermakers
7,Florida Gators,271,South Carolina Gamecocks,267,,,,False,SEC - East,SEC - East,Florida Gators vs South Carolina Gamecocks
7,Texas A&M Aggies,270,Tennessee Volunteers,277,,,,False,SEC - West,SEC - East,Texas A&M Aggies vs Tennessee Volunteers
7,Iowa Hawkeyes,91,Wisconsin Badgers,96,,,,False,Big Ten - West,Big Ten - West,Iowa Hawkeyes vs Wisconsin Badgers
7,Arkansas Razorbacks,276,Alabama Crimson Tide,275,,,,False,SEC - West,SEC - West,Arkansas Razorbacks vs Alabama Crimson Tide
7,Troy Trojans,333,Army Black Knights,263,,,2023-10-11T19:30:00,False,Sun Belt - West,FBS Independents,Troy Trojans vs Army Black Knights
7,Liberty Flames,84,Jacksonville State Gamecocks,238,,,2023-10-07T23:30:00,False,Conference USA,Conference USA,Liberty Flames vs Jacksonville State Gamecocks
7,Missouri Tigers,280,Kentucky Wildcats,268,,,,False,SEC - East,SEC - East,Missouri Tigers vs Kentucky Wildcats
7,Auburn Tigers,279,LSU Tigers,269,,,,False,SEC - West,SEC - West,Auburn Tigers vs LSU Tigers
7,Arizona Wildcats,247,Washington State Cougars,256,,,,False,Pac-12,Pac-12,Arizona Wildcats vs Washington State Cougars
7,UCLA Bruins,253,Oregon State Beavers,252,,,,False,Pac-12,Pac-12,UCLA Bruins vs Oregon State Beavers
7,California Golden Bears,251,Utah Utes,248,,,,False,Pac-12,Pac-12,California Golden Bears vs Utah Utes
7,Oregon Ducks,245,Washington Huskies,249,,,,False,Pac-12,Pac-12,Oregon Ducks vs Washington Huskies
7,Stanford Cardinal,254,Colorado Buffaloes,250,,,2023-10-11T02:00:00,False,Pac-12,Pac-12,Stanford Cardinal vs Colorado Buffaloes
7,USC Trojans,246,Notre Dame Fighting Irish,25,1.0,,2023-10-11T23:30:00,False,Pac-12,FBS Independents,USC Trojans vs Notre Dame Fighting Irish
7,NC State Wolfpack,33,Duke Blue Devils,26,,,,False,Atlantic Coast,Atlantic Coast,NC State Wolfpack vs Duke Blue Devils
