Week,AwayTeamName,AwayTeamID,HomeTeamName,HomeTeamID,PointSpread,OverUnder,DateTimeUTC,NeutralVenue,Conference_away,Conference_home,TeamsConcatenated,ConferenceConcatenated
12,Louisiana Tech Bulldogs,137,Jacksonville State Gamecocks,238,,,2023-11-18T19:00:00,FALSE,Conference USA,Conference USA,Louisiana Tech Bulldogs vs Jacksonville State Gamecocks,Conference USA vs Conference USA
12,Purdue Boilermakers,94,Northwestern Wildcats,100,,,,FALSE,Big Ten - West,Big Ten - West,Purdue Boilermakers vs Northwestern Wildcats,Big Ten - West vs Big Ten - West
12,Florida International Panthers,140,Arkansas Razorbacks,276,,,,FALSE,Conference USA,SEC - West,Florida International Panthers vs Arkansas Razorbacks,Conference USA vs SEC - West
12,Michigan State Spartans,97,Indiana Hoosiers,93,,,,FALSE,Big Ten - East,Big Ten - East,Michigan State Spartans vs Indiana Hoosiers,Big Ten - East vs Big Ten - East
12,Sam Houston Bearkats,295,Western Kentucky Hilltoppers,144,,,2023-11-18T20:30:00,FALSE,Conference USA,Conference USA,Sam Houston Bearkats vs Western Kentucky Hilltoppers,Conference USA vs Conference USA
12,Georgia State Panthers,328,LSU Tigers,269,,,,FALSE,Sun Belt - East,SEC - West,Georgia State Panthers vs LSU Tigers,Sun Belt - East vs SEC - West
12,Utah Utes,248,Arizona Wildcats,247,,,,FALSE,Pac-12,Pac-12,Utah Utes vs Arizona Wildcats,Pac-12 vs Pac-12
12,Washington Huskies,249,Oregon State Beavers,252,,,,FALSE,Pac-12,Pac-12,Washington Huskies vs Oregon State Beavers,Pac-12 vs Pac-12
12,California Golden Bears,251,Stanford Cardinal,254,,,,FALSE,Pac-12,Pac-12,California Golden Bears vs Stanford Cardinal,Pac-12 vs Pac-12
12,Colorado Buffaloes,250,Washington State Cougars,256,,,2023-11-18T03:30:00,FALSE,Pac-12,Pac-12,Colorado Buffaloes vs Washington State Cougars,Pac-12 vs Pac-12
12,UCLA Bruins,253,USC Trojans,246,,,,FALSE,Pac-12,Pac-12,UCLA Bruins vs USC Trojans,Pac-12 vs Pac-12
12,Oregon Ducks,245,Arizona State Sun Devils,255,,,,FALSE,Pac-12,Pac-12,Oregon Ducks vs Arizona State Sun Devils,Pac-12 vs Pac-12
12,Wake Forest Demon Deacons,34,Notre Dame Fighting Irish,25,,,2023-11-18T20:30:00,FALSE,Atlantic Coast,FBS Independents,Wake Forest Demon Deacons vs Notre Dame Fighting Irish,Atlantic Coast vs FBS Independents
12,Boston College Eagles,35,Pittsburgh Panthers,28,,,2023-11-17T00:00:00,FALSE,Atlantic Coast,Atlantic Coast,Boston College Eagles vs Pittsburgh Panthers,Atlantic Coast vs Atlantic Coast
12,North Carolina Tar Heels,21,Clemson Tigers,27,,,,FALSE,Atlantic Coast,Atlantic Coast,North Carolina Tar Heels vs Clemson Tigers,Atlantic Coast vs Atlantic Coast
12,Louisville Cardinals,24,Miami Hurricanes,23,,,,FALSE,Atlantic Coast,Atlantic Coast,Louisville Cardinals vs Miami Hurricanes,Atlantic Coast vs Atlantic Coast
12,Duke Blue Devils,26,Virginia Cavaliers,22,,,,FALSE,Atlantic Coast,Atlantic Coast,Duke Blue Devils vs Virginia Cavaliers,Atlantic Coast vs Atlantic Coast
12,NC State Wolfpack,33,Virginia Tech Hokies,31,,,,FALSE,Atlantic Coast,Atlantic Coast,NC State Wolfpack vs Virginia Tech Hokies,Atlantic Coast vs Atlantic Coast
12,North Alabama Lions,396,Florida State Seminoles,29,,,,FALSE,,Atlantic Coast,North Alabama Lions vs Florida State Seminoles,Unknown
12,Syracuse Orange,30,Georgia Tech Yellow Jackets,32,,,,FALSE,Atlantic Coast,Atlantic Coast,Syracuse Orange vs Georgia Tech Yellow Jackets,Atlantic Coast vs Atlantic Coast
12,Kansas State Wildcats,112,Kansas Jayhawks,106,,,,FALSE,Big 12,Big 12,Kansas State Wildcats vs Kansas Jayhawks,Big 12 vs Big 12
12,Oklahoma State Cowboys,113,Houston Cougars,6,,,,FALSE,Big 12,Big 12,Oklahoma State Cowboys vs Houston Cougars,Big 12 vs Big 12
12,Oklahoma Sooners,105,BYU Cougars,336,,,,FALSE,Big 12,Big 12,Oklahoma Sooners vs BYU Cougars,Big 12 vs Big 12
12,Baylor Bears,108,TCU Horned Frogs,114,,,,FALSE,Big 12,Big 12,Baylor Bears vs TCU Horned Frogs,Big 12 vs Big 12
